Game_ID,League,Teams,Players,Metric_1,Metric_2,Metric_3,Metric_4
MLB-2025-001,MLB,Arizona Diamondbacks,Alex Diamondback AD1,29,253,0.221,76
MLB-2025-001,MLB,Arizona Diamondbacks,Jordan Diamondback AD2,30,256,0.222,77
MLB-2025-001,MLB,Arizona Diamondbacks,Taylor Diamondback AD3,31,259,0.223,78
MLB-2025-001,MLB,Arizona Diamondbacks,Chris Diamondback AD4,32,262,0.224,79
MLB-2025-001,MLB,Arizona Diamondbacks,Cameron Diamondback AD5,33,265,0.225,80
MLB-2025-001,MLB,Atlanta Braves,Alex Brave AB1,39,283,0.231,86
MLB-2025-001,MLB,Atlanta Braves,Jordan Brave AB2,40,286,0.232,87
MLB-2025-001,MLB,Atlanta Braves,Taylor Brave AB3,41,289,0.233,88
MLB-2025-001,MLB,Atlanta Braves,Chris Brave AB4,42,292,0.234,89
MLB-2025-001,MLB,Atlanta Braves,Cameron Brave AB5,43,295,0.235,90
MLB-2025-001,MLB,Baltimore Orioles,Alex Oriole BO1,22,313,0.241,96
MLB-2025-001,MLB,Baltimore Orioles,Jordan Oriole BO2,23,316,0.242,97
MLB-2025-001,MLB,Baltimore Orioles,Taylor Oriole BO3,24,319,0.243,98
MLB-2025-001,MLB,Baltimore Orioles,Chris Oriole BO4,25,322,0.244,99
MLB-2025-001,MLB,Baltimore Orioles,Cameron Oriole BO5,26,325,0.245,100
MLB-2025-001,MLB,Boston Red Sox,Alex Sox BR1,32,343,0.251,106
MLB-2025-001,MLB,Boston Red Sox,Jordan Sox BR2,33,346,0.252,107
MLB-2025-001,MLB,Boston Red Sox,Taylor Sox BR3,34,349,0.253,108
MLB-2025-001,MLB,Boston Red Sox,Chris Sox BR4,35,352,0.254,109
MLB-2025-001,MLB,Boston Red Sox,Cameron Sox BR5,36,355,0.255,110
MLB-2025-001,MLB,Chicago Cubs,Alex Cubs CC1,42,373,0.261,116
MLB-2025-001,MLB,Chicago Cubs,Jordan Cubs CC2,43,376,0.262,117
MLB-2025-001,MLB,Chicago Cubs,Taylor Cubs CC3,44,379,0.263,118
MLB-2025-001,MLB,Chicago Cubs,Chris Cubs CC4,18,382,0.264,119
MLB-2025-001,MLB,Chicago Cubs,Cameron Cubs CC5,19,385,0.265,120
MLB-2025-001,MLB,Chicago White Sox,Alex Sox CW1,25,403,0.271,126
MLB-2025-001,MLB,Chicago White Sox,Jordan Sox CW2,26,406,0.272,127
MLB-2025-001,MLB,Chicago White Sox,Taylor Sox CW3,27,409,0.273,128
MLB-2025-001,MLB,Chicago White Sox,Chris Sox CW4,28,412,0.274,129
MLB-2025-001,MLB,Chicago White Sox,Cameron Sox CW5,29,415,0.275,130
MLB-2025-001,MLB,Cincinnati Reds,Alex Reds CR1,35,433,0.281,136
