Game_ID,League,Teams,Players,Metric_1,Metric_2,Metric_3,Metric_4
NBA-2025-001,NBA,Atlanta Hawks,Alex Hawk AH1,46,184,0.391,19
NBA-2025-001,NBA,Atlanta Hawks,Jordan Hawk AH2,47,188,0.392,20
NBA-2025-001,NBA,Atlanta Hawks,Taylor Hawk AH3,48,192,0.393,21
NBA-2025-001,NBA,Atlanta Hawks,Chris Hawk AH4,49,196,0.394,22
NBA-2025-001,NBA,Atlanta Hawks,Cameron Hawk AH5,50,200,0.395,23
NBA-2025-001,NBA,Boston Celtics,Alex Celtic BC1,56,224,0.401,29
NBA-2025-001,NBA,Boston Celtics,Jordan Celtic BC2,57,228,0.402,30
NBA-2025-001,NBA,Boston Celtics,Taylor Celtic BC3,58,232,0.403,31
NBA-2025-001,NBA,Boston Celtics,Chris Celtic BC4,59,236,0.404,32
NBA-2025-001,NBA,Boston Celtics,Cameron Celtic BC5,60,240,0.405,33
NBA-2025-001,NBA,Brooklyn Nets,Alex Nets BN1,66,264,0.411,39
NBA-2025-001,NBA,Brooklyn Nets,Jordan Nets BN2,67,268,0.412,40
NBA-2025-001,NBA,Brooklyn Nets,Taylor Nets BN3,68,272,0.413,41
NBA-2025-001,NBA,Brooklyn Nets,Chris Nets BN4,69,276,0.414,42
NBA-2025-001,NBA,Brooklyn Nets,Cameron Nets BN5,70,280,0.415,43
NBA-2025-001,NBA,Charlotte Hornets,Alex Hornet CH1,76,304,0.421,49
NBA-2025-001,NBA,Charlotte Hornets,Jordan Hornet CH2,77,308,0.422,50
NBA-2025-001,NBA,Charlotte Hornets,Taylor Hornet CH3,78,312,0.423,51
NBA-2025-001,NBA,Charlotte Hornets,Chris Hornet CH4,79,316,0.424,52
NBA-2025-001,NBA,Charlotte Hornets,Cameron Hornet CH5,80,320,0.425,53
NBA-2025-001,NBA,Chicago Bulls,Alex Bull CB1,86,344,0.431,59
NBA-2025-001,NBA,Chicago Bulls,Jordan Bull CB2,87,348,0.432,60
NBA-2025-001,NBA,Chicago Bulls,Taylor Bull CB3,88,352,0.433,61
NBA-2025-001,NBA,Chicago Bulls,Chris Bull CB4,89,356,0.434,62
NBA-2025-001,NBA,Chicago Bulls,Cameron Bull CB5,90,360,0.435,63
NBA-2025-001,NBA,Cleveland Cavaliers,Alex Cavalier CC1,96,384,0.441,69
NBA-2025-001,NBA,Cleveland Cavaliers,Jordan Cavalier CC2,97,388,0.442,70
NBA-2025-001,NBA,Cleveland Cavaliers,Taylor Cavalier CC3,98,392,0.443,71
NBA-2025-001,NBA,Cleveland Cavaliers,Chris Cavalier CC4,99,396,0.444,72
NBA-2025-001,NBA,Cleveland Cavaliers,Cameron Cavalier CC5,100,400,0.445,73
NBA-2025-001,NBA,Dallas Mavericks,Alex Maverick DM1,106,424,0.451,9
